gene_id	numb_iso	group	meanC1	meanC2	mean	varC1	varC2	var	DIE	DS	DIEDS	DE	DIEgroup	DSgroup	DIEDSgroup	DEgroup
ENSG00000000003	4	I	107.89875	222.255	165.076875	2730.56364107143	1692.0196	5551.16602291667	FALSE	TRUE	FALSE	FALSE	0	0.8-0.5	0	0
ENSG00000000419	8	II	39.5	73.4725	56.48625	196.857142857143	235.368907142857	509.473691666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000000457	5	II	37.14625	111.12	74.133125	516.701198214286	597.331457142857	1979.11275625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000000460	10	III	27.3725	67.11125	47.241875	205.186135714286	258.951869642857	637.709269583333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000000938	9	II	60.125	36.24625	48.185625	13090.125	154.448769642857	6332.85301291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000000971	7	II	114.4725	189.65375	152.063125	6909.62693571429	31101.4533982143	19245.76291625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000001036	4	I	90.89875	257.59125	174.245	3067.84975535714	1223.3792125	9412.2774	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000001084	12	III	150.86875	271.0025	210.935625	6743.82578392857	4829.78933571429	9249.58515958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000001167	2	I	89.125	192.16	140.6425	2527.55357142857	785.107514285714	4376.89816666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000001460	15	III	67.45	102.14875	84.799375	5050.80165714286	1261.67955535714	3266.89209958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000001461	8	II	1014.22	762.50125	888.360625	2172324.01745714	518366.395526786	1272552.14715292	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000001497	6	II	145.84375	337.33375	241.58875	13296.0989125	4117.34288392857	17904.5181983333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000001561	2	I	57	152.37125	104.685625	460.571428571429	1835.87118392857	3497.18663958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000001617	9	II	248.32875	374.50875	311.41875	64896.4046125	33993.8451267857	50394.4878516667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000001626	7	II	107.505	88.0625	97.78375	27563.5344	6226.24536428571	15869.3667716667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000001629	7	II	90.8825	223.5075	157.195	1693.82450714286	1669.89473571429	6260.23981333333	FALSE	FALSE	TRUE	FALSE	0	0	2-0.8-0.3	0
ENSG00000001630	6	II	270.7075	406.89375	338.800625	54386.6486214286	7496.77139821428	33824.7145929167	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000001631	25	III	75.025	176.2775	125.65125	831.251314285714	940.685535714286	3560.788865	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000002016	23	III	43.45125	108.6425	76.046875	873.6212125	125.568735714286	1599.59506291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000002330	8	II	75.12375	176.67	125.896875	5184.06325535714	4317.4772	7183.82311625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000002549	9	II	159.99125	323.23875	241.615	15311.7708410714	4584.6078125	16391.5757066667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000002586	9	II	601.9575	1219.735	910.84625	224728.561992857	102038.790828571	254264.508518333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000002587	3	I	32.04125	42.5	37.270625	1731.12024107143	649.332028571429	1140.04717958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000002746	12	III	22.175	21.51375	21.844375	1294.0394	584.686341071429	876.855279583333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000002822	25	III	76.39125	126.94125	101.66625	5646.07229821429	1419.72749821429	3978.78723833333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000002834	5	II	393.9325	673.7225	533.8275	120156.215935714	57975.4563357143	104003.432153333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000002919	4	I	64.125	111.7575	87.94125	2790.41071428571	934.499564285714	2343.31947833333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000002933	11	III	51.25	72.8375	62.04375	2265.64285714286	4716.12553571429	3382.430625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000003056	12	III	292.87125	572.14625	432.50875	34873.1327267857	14613.2141125	43892.1686916667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000003096	11	III	27.47	49.49625	38.483125	249.824342857143	1498.74725535714	945.374929583333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000003147	18	III	119.38125	373.665	246.523125	6778.64812678571	36590.8174571429	37481.8107429167	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000003249	3	I	37.71375	116.16875	76.94125	1247.24396964286	3258.89132678571	3744.246345	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000003393	13	III	69.3675	161.4375	115.4025	1683.17282142857	472.625592857143	3266.5419	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000003400	13	III	89.79375	150.60875	120.20125	10928.8859696429	4370.19035535714	8125.82607833333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000003402	27	III	405.81875	849.41875	627.61875	107034.862755357	19123.6084125	111348.875878333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000003436	13	III	144.4825	371.67375	258.078125	4061.65873571429	1662.12674107143	16435.3303095833	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000003509	13	III	47.2175	104.82625	76.021875	1065.70945	674.808826785714	1697.24668291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000003756	30	III	655.8575	1655.6275	1155.7425	199255.421592857	63063.9221357143	388959.707846667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000003989	5	II	141.8675	342.11	241.98875	8596.85496428571	20109.2760857143	24088.743505	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004059	7	II	305.555	602.345	453.95	86019.8006571429	20995.2382857143	73429.4992666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004139	3	I	249.07	612.3	430.685	41365.2927714286	7535.96594285714	58003.5295066667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004142	2	I	266.0925	602.27875	434.185625	51051.9421357143	13181.3651839286	60114.52866625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004399	18	III	311.53125	396.5	354.015625	98623.3474410714	44096.1278571429	68527.67206625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004455	14	III	257.24375	640.12875	448.68625	23314.5231982143	13651.2232696429	56344.2612116667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004468	6	II	120.35	89.185	104.7675	26913.8942857143	9984.8786	17478.4292733333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004478	7	II	450.0525	951.255	700.65375	134086.223764286	83855.9164285714	168694.051025	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004487	6	II	189.52125	537.03375	363.2775	14934.8921267857	1714.3011125	39973.6068866667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004534	22	III	448.88875	1216.8925	832.890625	71679.8828125	49454.8819071429	213817.492872917	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004660	4	I	45.375	123.375	84.375	1372.55357142857	2853.41071428571	3594.51666666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004700	8	II	59.11125	119.8725	89.491875	580.033498214286	2045.82710714286	2209.91614958333	FALSE	FALSE	TRUE	FALSE	0	0	2-0.8-0.3	0
ENSG00000004766	23	III	43.62625	110.475	77.050625	315.259255357143	787.144171428572	1706.12303291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004776	2	I	539.5225	917.04	728.28125	290538.73585	1116676.10731429	694705.450225	TRUE	FALSE	FALSE	FALSE	2	0	0	0
ENSG00000004777	4	I	74.6925	177.68625	126.189375	5509.76216428571	8128.42699821429	9193.21161958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004779	2	I	69.875	157.875	113.875	1635.83928571429	1163.83928571429	3371.58333333333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004799	6	II	148.98375	114.725	131.854375	10358.3592553571	7879.98845714286	8824.20545291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004838	9	II	10.2975	40.0025	25.15	188.097335714286	3193.48313571429	1813.37409333333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004846	6	II	7.84625	18.59875	13.2225	33.1903125	20.7766982142857	56.0156066666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004864	9	II	46.625	144.36375	95.494375	309.410714285714	1216.91256964286	3259.71439958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004866	29	III	64.73875	153.3475	109.043125	1329.05686964286	1184.99465	3266.96019625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004897	11	III	80.385	190.22125	135.303125	830.351514285714	4430.92386964286	5672.32899625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004961	3	I	32.2475	58.54875	45.398125	317.135764285714	161.794726785714	407.96909625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000004975	1	0	144.24	237.07	190.655	17548.6093714286	9649.50525714286	14990.4292	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005001	1	0	83.66125	77.3325	80.496875	18426.2600696429	689.856764285714	8931.53534291667	FALSE	FALSE	FALSE	TRUE	0	0	0	4
ENSG00000005007	1	0	514.41625	1023.73375	769.075	250421.395341071	40299.8969982143	204844.42064	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005020	11	III	55.12125	94.05375	74.5875	683.016755357143	521.633369642857	966.367273333333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005022	4	I	411.49375	1027.0675	719.280625	117495.814826786	56364.9521071429	182183.302352917	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005059	5	II	17.375	26.12625	21.750625	383.125	407.1075125	389.197672916667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005073	2	I	66.99375	129.19625	98.095	4176.73668392857	2494.00442678571	4144.78612	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005075	2	I	88.92625	175.2975	132.111875	7084.8299125	2473.82099285714	6450.03517625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005100	2	I	93.62125	215.89625	154.75875	4339.62066964286	1778.53314107143	6842.11861166667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005102	4	I	10	18.125	14.0625	50	115.839285714286	94.9958333333333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005108	5	II	22.625	37.5	30.0625	177.410714285714	992.571428571429	604.995833333333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005156	4	I	125.4425	302.315	213.87875	8701.48305	6894.34974285714	15620.4236383333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005175	7	II	29.91875	75.57875	52.74875	149.905583928571	452.2326125	836.953985	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005187	3	I	85.45875	452.58375	269.02125	8015.98655535714	186526.877141071	126728.207225	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005189	2	I	25.5	55.39	40.445	273.714285714286	182.325371428571	451.061733333333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005194	1	0	79.0925	167.4775	123.285	3912.08607857143	824.662478571429	4293.65818666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005206	2	I	281.49625	458.42	369.958125	97664.0448839286	12126.2974285714	59582.6966295833	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005238	7	II	89.00875	147.07125	118.04	6564.59489821429	1193.83598392857	4519.60212	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005243	1	0	34.99875	74.64	54.819375	820.900069642857	2233.72251428571	1844.53819291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005249	5	II	42.375	60.5	51.4375	124.839285714286	2704.28571428571	1407.8625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005302	18	III	70.70125	154.63875	112.67	2056.17086964286	2056.04364107143	3797.83448	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005339	4	I	512.3	925.24125	718.770625	197157.550285714	54489.7756696429	162907.545699583	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005379	3	I	253.22875	614.8775	434.053125	48895.7120696429	60473.9940785714	85916.4811029167	TRUE	FALSE	FALSE	FALSE	4	0	0	0
ENSG00000005436	11	III	42.38	125.77125	84.075625	308.692942857143	1054.9794125	2490.80725291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005448	13	III	51.9375	93.87875	72.908125	2226.66036428571	1074.5850125	2009.66609625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005469	7	II	109.53875	171.025	140.281875	3184.84952678571	1359.30782857143	3128.75581625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005483	20	III	287.15875	615.125	451.141875	24202.2928982143	29959.8932285714	53958.8498295833	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005486	11	III	348.76625	450.20375	399.485	141865.591398214	20243.2312553571	78394.66828	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005700	9	II	93.62375	267.4725	180.548125	1487.88434107143	3192.88156428571	10243.9275229167	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005801	28	III	52.60875	134.59375	93.60125	981.413269642857	1049.5279125	2740.18327833333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005810	13	III	184.985	405.9925	295.48875	10147.1757714286	22364.7321357143	28197.3743716667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005812	6	II	121.33	236.02625	178.678125	1523.47802857143	4317.17825535714	6233.70086958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005844	4	I	95.07375	139.9675	117.520625	10001.7532553571	5111.57573571429	7590.33987291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005882	15	III	151.64375	344.715	248.179375	20624.3115982143	10691.1229714286	24554.27148625	FALSE	TRUE	FALSE	FALSE	0	0.4-0.1	0	0
ENSG00000005884	17	III	552.79875	674.3875	613.593125	419549.296069643	89222.3111357143	241369.103129583	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005889	15	III	136.01625	283.24375	209.63	6874.6747125	5555.16708392857	11580.84264	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005893	6	II	455.5	841.81	648.655	79395.6512	25505.5353714286	88749.9980266667	TRUE	FALSE	FALSE	FALSE	0.25	0	0	0
ENSG00000005955	5	II	151.72875	336.44	244.084375	5550.94504107143	2096.3376	12666.9307995833	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000005981	3	I	5.67375	10.9325	8.303125	23.7502267857143	6.25802142857143	21.3783695833333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006007	1	0	235.38	493.345	364.3625	18274.7238285714	2542.14151428571	27460.1214866667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006015	2	I	109.46625	129.44625	119.45625	16629.3848267857	2228.32816964286	8906.719505	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006025	2	I	111.88	258.86125	185.370625	10696.8809142857	7781.72544107143	14384.27972625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006042	4	I	271.375	497.715	384.545	62083.125	8768.69745714286	46725.46264	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006062	2	I	97.875	161.84625	129.860625	9956.98214285714	4257.6759125	7724.79264625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006071	20	III	26.875	60.375	43.625	1283.83928571429	597.410714285714	1177.18333333333	FALSE	TRUE	FALSE	FALSE	0	0.8-0.5	0	0
ENSG00000006075	2	I	9.07125	20.04875	14.56	98.2474410714286	25.8066410714286	90.0267066666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006114	10	III	204.15125	494.87375	349.5125	19584.7096410714	1785.96768392857	32511.5352866667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006118	15	III	104.75375	224.84375	164.79875	16232.1485982143	7892.13394107143	15103.7606783333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006125	5	II	501.445	1247.4975	874.47125	94303.7645142857	35944.6166214286	209207.733265	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006194	2	I	87.14125	210.67625	148.90875	4058.7596125	2508.88456964286	7134.472945	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006210	1	0	432.75	474.5	453.625	374294.3166	106724	224940.03108	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006282	28	III	401.555	1021.745	711.65	153380.235628571	181129.903228571	258674.234426667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006283	34	III	33.46125	40.35	36.905625	2686.21878392857	589.826428571429	1541.47573291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006327	2	I	64.625	79.75	72.1875	7820.83928571429	6722.21428571429	6847.7625	FALSE	TRUE	FALSE	FALSE	0	0.8-0.5	0	0
ENSG00000006432	8	II	37.745	65.45625	51.600625	1408.66945714286	23.0022267857143	872.890352916667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006451	5	II	59.88625	140.09	99.988125	1061.60622678571	770.936428571428	2570.55764291667	FALSE	TRUE	FALSE	FALSE	0	0.6-0.3	0	0
ENSG00000006453	5	II	313.58125	507.7125	410.646875	106542.417155357	36368.71845	76741.7145429167	FALSE	FALSE	TRUE	FALSE	0	0	2-0.8-0.5	0
ENSG00000006459	4	I	62.29875	184.71625	123.5075	1327.73864107143	2502.43834107143	5783.69440666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006468	24	III	27.125	105.25875	66.191875	306.696428571429	27237.7789267857	14482.0572695833	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006530	12	III	64.63125	194.49625	129.56375	1539.94495535714	1212.33074107143	5781.70685166667	FALSE	FALSE	TRUE	FALSE	0	0	4-0.8-0.5	0
ENSG00000006534	13	III	59.27625	101.55	80.413125	2887.63114107143	1679.71445714286	2607.97992958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006555	5	II	88.36875	106.66	97.514375	7949.00864107143	2818.49474285714	5114.05353291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006576	13	III	30.0075	62.2025	46.105	131.422107142857	954.504421428571	783.17052	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006607	23	III	89.8925	224.57625	157.234375	4550.82476428571	2567.19256964286	8158.99809291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006625	9	II	70.5225	182.81125	126.666875	1195.89362142857	2960.77064107143	5302.11355625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006634	8	II	14.9675	39.5775	27.2725	40.4603071428571	88.7821642857143	221.82038	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006638	2	I	49.01875	96.2875	72.653125	1822.1600125	1960.84922142857	2361.22690291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006652	17	III	86.155	248.5	167.3275	1140.62742857143	4618.2286	9715.70588666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006695	4	I	32.44375	64.97875	48.71125	540.535426785714	379.256126785714	711.509718333333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006704	7	II	126.32375	283.4675	204.895625	11911.0057696429	5455.61799285714	14689.53326625	TRUE	FALSE	FALSE	FALSE	5	0	0	0
ENSG00000006712	3	I	271.21	422.635	346.9225	59333.0269428571	7899.1136	37489.54042	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006715	14	III	193.8675	405.97875	299.923125	12866.18965	8141.83524107143	21801.3935829167	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006740	5	II	57.67375	100.375	79.024375	1590.66008392857	997.982142857143	1694.27217291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006744	12	III	241.3225	456.9975	349.16	44631.3493357143	10463.88545	38115.2977333333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006747	11	III	24.1	39.38625	31.743125	424.359857142857	1036.96482678571	744.263369583333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006756	7	II	448.215	1147.75875	797.986875	160671.842485714	114662.9252125	258985.947102917	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006757	4	I	52.4175	111.23875	81.828125	1387.99793571429	295.336841071429	1708.20674958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000006831	7	II	182.6	356.05625	269.328125	13336.5371428571	4246.61102678571	16228.6879895833	TRUE	FALSE	FALSE	FALSE	4	0	0	0
ENSG00000006837	15	III	16.66	50.8425	33.75125	58.1052	71.72545	372.172518333333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007047	4	I	107.98625	219.24	163.613125	8601.34756964286	3907.23448571429	9137.97746291667	FALSE	FALSE	TRUE	FALSE	0	0	4-0.8-0.3	0
ENSG00000007062	21	III	224.615	32.25	128.4325	305281.244457143	335.071428571429	152488.75894	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007080	1	0	134.245	182.38625	158.315625	23400.9716285714	3439.52502678571	13143.58642625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007129	9	II	9.1375	9.5	9.31875	104.573507142857	11.1428571428571	54.0360116666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007168	3	I	351.1125	662.9925	507.0525	39105.9663642857	38017.8245642857	61929.5382733333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007202	4	I	834.7225	1677.25	1255.98625	472205.917707143	9130.36517142858	413917.622211667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007237	8	II	110.4875	185.07625	147.781875	7637.79587857143	42027.1588839286	24660.5739895833	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007255	1	0	65.7675	135.87125	100.819375	4739.79747857143	2750.74975535714	4806.13157958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007341	34	III	50.8	126.555	88.6775	985.721428571429	768.907428571429	2349.17880666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007372	31	III	3.625	7.625	5.625	7.125	1.98214285714286	8.51666666666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007376	1	0	53.26	113.18875	83.224375	3678.57508571429	1447.8250125	3350.04139958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007384	14	III	322.945	530.67375	426.809375	119245.493714286	24401.1936839286	78542.11640625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007392	20	III	233.3275	569.525	401.42625	28313.8716214286	20818.6764857143	53069.5248516667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007402	10	III	89.60625	165.34	127.473125	11532.6688839286	2263.65814285714	7967.77951625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007516	6	II	138.39375	422.54375	280.46875	17002.0559410714	85530.2563410714	69379.405065	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007520	1	0	101.00125	189.6125	145.306875	9999.06829821429	2181.44207857143	7778.09247625	FALSE	FALSE	FALSE	TRUE	0	0	0	4
ENSG00000007541	16	III	278.77125	441.5075	360.139375	99627.6231267857	30373.9277642857	67729.54696625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007545	11	III	303.9325	687.96625	495.949375	72353.9845357143	18504.2720267857	81729.0320329167	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007866	4	I	330.41625	464.70875	397.5625	114339.143426786	63357.0865553571	87734.1008066667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007908	10	III	59.125	71.0225	65.07375	2197.83928571429	1462.47262142857	1745.89235833333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007923	14	III	144.8175	328.225	236.52125	15331.9486214286	3368.31177142857	17697.004465	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007933	9	II	4.70375	11.6875	8.195625	8.13902678571429	36.86565	34.0082529166667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007944	2	I	84.6225	231.265	157.94375	2336.87719285714	5976.9618	9614.19761166667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000007968	2	I	11.325	21.53875	16.431875	84.2774857142857	29.7969267857143	81.05357625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000008018	3	I	252.5	544.97875	398.739375	33908.2857142857	11559.7674125	44030.1099129167	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000008056	2	I	4.125	6.875	5.5	35.5535714285714	28.6964285714286	32	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000008083	5	II	80.125	175.13875	127.631875	3950.69642857143	1281.0952125	4848.86614958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000008118	4	I	7.75	13.875	10.8125	22.2142857142857	59.2678571428571	48.0291666666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000008128	28	III	168.3575	394.01875	281.188125	12730.7441357143	12854.0176696429	25519.0221095833	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000008130	19	III	288.2425	603.74625	445.994375	70895.8251928571	24774.3743125	71190.7907729167	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000008226	8	II	118.45375	193.29125	155.8725	10524.9270553571	5864.33658392857	9141.83007333333	FALSE	TRUE	FALSE	FALSE	0	0.8-0.5	0	0
ENSG00000008256	11	III	83.5	258.98125	171.240625	2327.71428571429	21840.0580982143	19489.9388729167	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000008277	12	III	62.5	151.385	106.9425	888.857142857143	9041.98542857143	6741.20472666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000008282	6	II	207.9625	363.12625	285.544375	4788.69545	6613.74402678571	11741.34890625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000008283	5	II	715.18625	1112.035	913.610625	644711.990769643	86011.6052857143	383001.39292625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000008294	25	III	214.34875	432.8225	323.585625	15963.9962696429	18381.4382785714	28756.07730625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000008300	5	II	17	65.03625	41.018125	173.428571428571	4108.21622678571	2613.42925625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000008311	7	II	78.54375	142.5025	110.523125	3381.95282678571	4180.02656428571	4619.78283625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
